Q00325,P03496
Q00325,P05777
Q00325,P05780
Q00325,P06428
Q00325,P0C765
Q00325,P0DOE9
Q00325,P15659
Q00325,P15682
Q00325,P27958
Q00325,P35256
Q00325,P36801
Q00325,P90495
Q00325,Q01220
Q00325,Q05322
Q00325,Q20MH0
Q00325,Q77M19
Q00325,Q89268
Q04721,B9UPF3
Q04721,P03182
Q04721,P06460
Q04721,P06461
Q04721,P0C6Z1
Q04721,P69901
Q07812,P03182
Q07812,P03246
Q07812,P03495
Q07812,P07213
Q07812,P0C6Z1
Q07812,P24356
Q07812,P68451
Q07812,P89884
Q07812,Q77M19
Q12800,P25372
Q12800,P35184
Q12800,P38340
Q12824,A0A0U5B5J2
Q12824,H9XIJ5
Q12824,P04326
Q12824,P04585
Q12824,P04608
Q12824,P12978
Q12824,Q88489
Q12948,P04585
Q12948,P36801
Q12948,Q72874
Q12948,Q9Q2G4
Q13490,P32502
Q13490,P40325
Q13490,Q3E793
Q14683,C5E526
Q14683,P04296
Q14683,P06429
Q14697,C5E526
Q14697,C5E527
Q14697,Q2HRC7
Q14839,P03129
Q14839,P06465
Q14839,Q81SN0
Q15041,P39518
Q15041,Q02821
Q15041,Q12259
Q15654,P25372
Q15654,P39724
Q15654,P47041
Q16611,P29311
Q16637,P03120
Q16637,P03134
Q16637,P04015
Q16637,P06790
Q16637,P12520
Q16637,P38340
Q16637,Q9WMX2
Q16836,P03129
Q16836,P06429
Q16836,P06430
Q16836,P06465
Q16836,P06788
Q16836,P24835
Q16836,P36817
Q16836,P36827
Q53EZ4,P32502
Q53EZ4,P35184
Q53EZ4,P38340
Q53G59,P32502
Q53G59,P53286
Q53H12,B4URF7
Q53H12,C5E526
Q53H12,C5E527
Q53H12,I6T1Z2
Q53H12,P03428
Q53H12,P03431
Q53H12,P03433
Q53H12,P06460
Q53H12,P0C739
Q53H12,Q1K9H5
Q53H12,Q77M19
Q5JR59-3,P28004
Q5JR59-3,P32502
Q5JR59-3,P32571
Q5JR59-3,P32902
Q5JR59-3,P40302
Q5JR59-3,P40454
Q5JR59-3,P47041
Q5JR59-3,P48837
Q5RI15,P03182
Q5RI15,P06460
Q5RI15,P06792
Q5RI15,P0C6Z1
Q5TAQ9,A0A288CFT1
Q5TAQ9,P06427
Q5TAQ9,P10233
Q5TAQ9,P12520
Q5TAQ9,P36799
Q5TAQ9,P36801
Q5VWX1,P38340
Q6KC79,Q5NHX0
Q6KC79,Q7CGS9
Q6KC79,Q81PX9
Q6NZI2,B9UPF3
Q6NZI2,P03211
Q6NZI2,P03225
Q6NZI2,P06430
Q6NZI2,P06461
Q6NZI2,P06927
Q6NZI2,P36817
Q6NZI2,P69901
Q6NZI2,Q8AZJ3
Q8N6Y0,P28004
Q8N6Y0,P32571
Q8N6Y0,P32902
Q8N6Y0,P48837
Q8NA61-2,P32464
Q8NA61-2,P32502
Q8NA61-2,P38340
Q8NA61-2,P40454
Q8NA61-2,P47041
Q8WUM4,P0CG63
Q8WV44,P53286
Q8WV44,Q12259
Q92508,P06460
Q92508,P06461
Q92508,P06792
Q92508,P06927
Q92734,P40956
Q92734,Q12259
Q92830,Q02336
Q93062-3,P32902
Q93062-3,P35184
Q93062-3,P38340
Q93062-3,P40956
Q93062-3,Q03020
Q969F0,P38340
Q969G3,P04296
Q969G3,Q05322
Q969G3,Q5NEB6
Q969G3,Q81VV7
Q96B36,P29311
Q96BA8,P05375
Q96CV9,P0C6Z9
Q96CV9,P0CK48
Q96CV9,P0CK53
Q96CV9,P14335
Q96CV9,P29882
Q96CV9,P38182
Q96CV9,P40302
Q96CV9,P40325
Q96CV9,P40454
Q96CV9-2,P40302
Q96CV9-2,P40325
Q96CV9-2,P40454
Q96PU8,P38340
Q99714,P05777
Q99714,Q0HD54
Q99714,Q1K9H5
Q99750,P06782
Q99750,P32589
Q99750,P35184
Q99750,Q12259
Q9BPX1,P32502
Q9BPX1,P38340
Q9BUB7,P06427
Q9BUB7,P06429
Q9BUB7,P24835
Q9BUB7,P36801
Q9BUB7,P36817
Q9BXW9,B4URF7
Q9BXW9,C5E526
Q9BXW9,C5E527
Q9BXW9,I6T1Z2
Q9BXW9,P03431
Q9BXW9,P06821
Q9BXW9,P0C0U1
Q9BXW9,P0DOE9
Q9BXW9,Q1K9H5
